#SampleID	coralID	acclimation	genotype	cerID
205S187	4EV13	2	EV	205
205S227	4EV13	2	EV	205
206S120	2JQ3	4	JQ	206
206S80	2JQ3	4	JQ	206
207S27	0JQ2	3	JQ	207
207S67	0JQ2	3	JQ	207
208S2	2FU39	4	FU	208
208S42	2FU39	4	FU	208
209S146	2GT8	2	GT	209
209S186	2GT8	2	GT	209
20S193	9BY40	5	BY	20
20S233	9BY40	5	BY	20
210S3	4JQ11	2	JQ	210
210S43	4JQ11	2	JQ	210
211S136	6FU17	1	FU	211
211S96	6FU17	1	FU	211
213AND16S198	2BY9	2	BY	213AND16
213AND16S238	2BY9	2	BY	213AND16
214S123	4EV12	2	EV	214
214S83	4EV12	2	EV	214
216S177	2EV57	4	EV	216
216S217	2EV57	4	EV	216
217S1	0JQ1	3	JQ	217
217S41	0JQ1	3	JQ	217
219S14	4IR11	2	IR	219
219S54	4IR11	2	IR	219
21S117	9BY28	5	BY	21
21S157	9BY28	5	BY	21
220S161	0EV48	3	EV	220
220S201	0EV48	3	EV	220
221S116	2JQ33	4	JQ	221
221S76	2JQ33	4	JQ	221
222S163	2IR8	2	IR	222
222S203	2IR8	2	IR	222
223S107	4CX13	2	CX	223
223S67	4CX13	2	CX	223
224S59	2FU8	2	FU	224
224S99	2FU8	2	FU	224
225S143	8GT24	1	GT	225
225S183	8GT24	1	GT	225
226S105	4JQ13	2	JQ	226
226S145	4JQ13	2	JQ	226
22S125	9BY24	5	BY	22
22S165	9BY24	5	BY	22
23S106	8CX23	1	CX	23
23S66	8CX23	1	CX	23
24S54	8CX22	1	CX	24
24S94	8CX22	1	CX	24
25S155	6CX17	1	CX	25
25S195	6CX17	1	CX	25
26S43	6CX20	1	CX	26
26S83	6CX20	1	CX	26
27S22	4CX14	2	CX	27
27S62	4CX14	2	CX	27
28S135	2CX9	2	CX	28
28S95	2CX9	2	CX	28
29S20	2CX19	4	CX	29
29S60	2CX19	4	CX	29
2S50	2AZ9	4	AZ	2
2S90	2AZ9	4	AZ	2
30S137	2CX17	4	CX	30
30S97	2CX17	4	CX	30
31S127	0CX1	3	CX	31
31S167	0CX1	3	CX	31
32S106	0CX48	3	CX	32
32S146	0CX48	3	CX	32
33S110	2CX21	4	CX	33
33S70	2CX21	4	CX	33
34S33	9CX4	5	CX	34
34S73	9CX4	5	CX	34
35S112	9CX8	5	CX	35
35S152	9CX8	5	CX	35
36S186	9CX17	5	CX	36
36S226	9CX17	5	CX	36
38S189	4DW13	2	DW	38
38S229	4DW13	2	DW	38
39S49	0DW49	3	DW	39
39S89	0DW49	3	DW	39
3S183	2AZ10	4	AZ	3
3S223	2AZ10	4	AZ	3
40S13	0DW47	3	DW	40
40S53	0DW47	3	DW	40
41S112	2DW35	4	DW	41
41S72	2DW35	4	DW	41
42S118	2DW42	4	DW	42
42S78	2DW42	4	DW	42
44S180	2DW35	4	DW	44
44S220	2DW35	4	DW	44
46S103	9DW4	5	DW	46
46S143	9DW4	5	DW	46
48S47	2EV7	2	EV	48
48S87	2EV7	2	EV	48
49S150	2EV9	2	EV	49
49S190	2EV9	2	EV	49
50S10	0EV4	3	EV	50
50S50	0EV4	3	EV	50
51S55	0EV5	3	EV	51
51S95	0EV5	3	EV	51
52S175	2EV37	4	EV	52
52S215	2EV37	4	EV	52
53S126	2EV31	4	EV	53
53S166	2EV31	4	EV	53
54S190	6FU18	1	FU	54
54S230	6FU18	1	FU	54
55S48	FU4	3	FU	55
55S88	FU4	3	FU	55
56S148	FU6	3	FU	56
56S188	FU6	3	FU	56
57S181	8GT25	1	GT	57
57S221	8GT25	1	GT	57
58S157	2GT1	4	GT	58
58S197	2GT1	4	GT	58
59S121	0GT49	3	GT	59
59S161	0GT49	3	GT	59
5S170	2AZ70	4	AZ	5
5S178	2AZ70	4	AZ	5
5S210	2AZ70	4	AZ	5
5S218	2AZ70	4	AZ	5
60S191	0GT48	3	GT	60
60S231	0GT48	3	GT	60
61S138	2GT45	4	GT	61
61S178	2GT45	4	GT	61
62S118	2GT29	4	GT	62
62S158	2GT29	4	GT	62
63S58	2GT32	4	GT	63
63S98	2GT32	4	GT	63
64S172	9GT33	5	GT	64
64S212	9GT33	5	GT	64
65S147	9GT28	5	GT	65
65S187	9GT28	5	GT	65
66S40	6HS18	1	HS	66
66S80	6HS18	1	HS	66
67S18	6HS16	1	HS	67
67S58	6HS16	1	HS	67
68S51	0HS49	3	HS	68
68S91	0HS49	3	HS	68
69S182	9HS51	5	HS	69
69S222	9HS51	5	HS	69
70S192	9HS50	5	HS	70
70S232	9HS50	5	HS	70
71S125	8IR25	1	IR	71
71S85	8IR25	1	IR	71
74S139	0IR49	3	IR	74
74S99	0IR49	3	IR	74
76AND7S197	9IR10	5	IR	76AND7
76AND7S237	9IR10	5	IR	76AND7
77S113	2JQ10	2	JQ	77
77S153	2JQ10	2	JQ	77
78S19	2JQ28	4	JQ	78
78S59	2JQ28	4	JQ	78
79S49	9JQ39	5	JQ	79
79S9	9JQ39	5	JQ	79
80S164	9JQ43	5	JQ	80
80S204	9JQ43	5	JQ	80
81S122	1AZ4	3	AZ	81
81S162	1AZ4	3	AZ	81
82S104	0BY50	3	BY	82
82S144	0BY50	3	BY	82
86S174	2JQ37	4	JQ	86
86S214	2JQ37	4	JQ	86
87S152	1HS39	3	HS	87
87S192	1HS39	3	HS	87
88S151	9HS19	5	HS	88
88S191	9HS19	5	HS	88
89S138	2BY6	2	BY	89
89S98	2BY6	2	BY	89
8S194	9AZ8	5	AZ	8
8S234	9AZ8	5	AZ	8
90S171	0EV2	3	EV	90
90S211	0EV2	3	EV	90
91S130	2EV8	2	EV	91
91S90	2EV8	2	EV	91
92S188	0CX3	3	CX	92
92S228	0CX3	3	CX	92
93S108	2EV44	4	EV	93
93S148	2EV44	4	EV	93
94S100	9CX1	5	CX	94
94S140	9CX1	5	CX	94
95S142	FU3	3	FU	95
95S182	FU3	3	FU	95
96S115	9FU26	5	FU	96
96S75	9FU26	5	FU	96
97S53	4DW12	2	DW	97
97S93	4DW12	2	DW	97
98S141	8EV21	1	EV	98
98S181	8EV21	1	EV	98
99S129	6HS20	1	HS	99
99S89	6HS20	1	HS	99
9S184	6BY19	1	BY	9
9S224	6BY19	1	BY	9
